"Date","Time","Open","High","Low","Close","Volume"
01/07/2019,1453,146.58,146.61,146.51,146.61,65726
01/07/2019,1454,146.61,146.62,146.52,146.59,53158
01/07/2019,1455,146.58,146.67,146.48,146.67,84983
01/07/2019,1456,146.68,146.7,146.6,146.67,72354
01/07/2019,1457,146.68,146.72,146.56,146.6,71671
01/07/2019,1458,146.6,146.87,146.6,146.85,100910
01/07/2019,1459,146.86,147.04,146.83,146.99,138613
01/07/2019,1500,146.99,147.06,146.95,147.05,132937
01/07/2019,1501,147.05,147.16,146.99,147.15,141682
01/07/2019,1502,147.14,147.21,147.05,147.17,117076
01/07/2019,1503,147.16,147.3,147.13,147.28,103568
01/07/2019,1504,147.27,147.41,147.27,147.4,167035
01/07/2019,1505,147.4,147.48,147.31,147.44,135141
01/07/2019,1506,147.46,147.5,147.37,147.38,140342
01/07/2019,1507,147.38,147.45,147.3,147.41,101891
01/07/2019,1508,147.42,147.49,147.36,147.44,92489
01/07/2019,1509,147.44,147.53,147.37,147.44,151531
01/07/2019,1510,147.46,147.6,147.45,147.57,123761
01/07/2019,1511,147.56,147.58,147.5,147.52,82021
01/07/2019,1512,147.52,147.53,147.39,147.39,115052
01/07/2019,1513,147.39,147.6,147.39,147.57,110119
01/07/2019,1514,147.58,147.6,147.47,147.48,126427
01/07/2019,1515,147.48,147.73,147.47,147.67,143795
01/07/2019,1516,147.66,147.78,147.63,147.74,137863
01/07/2019,1517,147.75,147.76,147.63,147.64,125990
01/07/2019,1518,147.64,147.82,147.64,147.8,126810
01/07/2019,1519,147.79,147.91,147.69,147.86,159280
01/07/2019,1520,147.86,147.88,147.75,147.82,124703
01/07/2019,1521,147.81,147.89,147.74,147.85,135663
01/07/2019,1522,147.85,147.9,147.81,147.88,102087
01/07/2019,1523,147.87,147.93,147.8,147.91,125321
01/07/2019,1524,147.91,148.02,147.88,148,199542
01/07/2019,1525,147.99,148.14,147.97,148.13,145997
01/07/2019,1526,148.14,148.21,148.1,148.19,138608
01/07/2019,1527,148.18,148.21,148.12,148.17,137014
01/07/2019,1528,148.15,148.36,148.14,148.36,163465
01/07/2019,1529,148.36,148.38,148.2,148.24,147645
01/07/2019,1530,148.26,148.39,147.86,147.88,250123
01/07/2019,1531,147.88,147.88,147.55,147.65,245086
01/07/2019,1532,147.65,147.73,147.56,147.72,215981
01/07/2019,1533,147.73,147.8,147.61,147.69,147097
01/07/2019,1534,147.7,147.87,147.68,147.85,115614
01/07/2019,1535,147.87,147.93,147.76,147.92,131961
01/07/2019,1536,147.93,148.06,147.93,148.03,148201
01/07/2019,1537,148.03,148.22,148.02,148.22,113778
01/07/2019,1538,148.22,148.23,148.08,148.22,110883
01/07/2019,1539,148.22,148.23,148.06,148.07,92189
01/07/2019,1540,148.06,148.12,148.02,148.1,115088
01/07/2019,1541,148.1,148.11,148.02,148.11,82548
01/07/2019,1542,148.1,148.12,147.97,148.06,98086
01/07/2019,1543,148.06,148.18,148.05,148.12,95008
01/07/2019,1544,148.14,148.21,148.09,148.16,143632
01/07/2019,1545,148.15,148.33,148.14,148.33,232635
01/07/2019,1546,148.32,148.38,148.17,148.27,138830
01/07/2019,1547,148.27,148.4,148.27,148.31,96035
01/07/2019,1548,148.32,148.33,148.13,148.16,101656
01/07/2019,1549,148.17,148.22,148.09,148.1,113610
01/07/2019,1550,148.1,148.12,147.82,147.87,128175
01/07/2019,1551,147.87,147.97,147.78,147.96,105614
01/07/2019,1552,147.96,148.06,147.87,147.89,110585
01/07/2019,1553,147.88,147.94,147.87,147.91,71614
01/07/2019,1554,147.91,147.93,147.78,147.79,104913
01/07/2019,1555,147.8,148.02,147.79,147.88,224072
01/07/2019,1556,147.88,147.98,147.84,147.85,133952
01/07/2019,1557,147.85,147.92,147.82,147.9,108900
01/07/2019,1558,147.9,147.95,147.85,147.91,127822
01/07/2019,1559,147.9,148.04,147.8,147.89,618844
01/08/2019,0930,149.34,149.75,148.98,149.55,931871
01/08/2019,0931,149.55,149.66,149.22,149.56,273941
01/08/2019,0932,149.54,149.86,149.45,149.49,315164
01/08/2019,0933,149.5,149.89,149.36,149.74,315289
01/08/2019,0934,149.74,149.93,149.6,149.87,150020
01/08/2019,0935,149.87,150.05,149.67,149.85,461903
01/08/2019,0936,149.85,150,149.66,149.71,181502
01/08/2019,0937,149.76,149.79,149.55,149.69,174807
01/08/2019,0938,149.7,149.77,149.55,149.7,120383
01/08/2019,0939,149.71,149.77,149.44,149.44,146838
01/08/2019,0940,149.45,149.57,149.3,149.33,209436
01/08/2019,0941,149.4,149.53,149.24,149.27,158600
01/08/2019,0942,149.27,149.56,149.25,149.4,124616
01/08/2019,0943,149.4,149.56,149.16,149.24,169233
01/08/2019,0944,149.25,149.55,149.17,149.32,137912
01/08/2019,0945,149.31,149.38,149.14,149.22,132490
01/08/2019,0946,149.21,149.43,149.12,149.38,109934
01/08/2019,0947,149.37,149.51,149.28,149.48,201948
01/08/2019,0948,149.47,149.5,149.26,149.37,130062
01/08/2019,0949,149.37,149.59,149.32,149.54,154141
01/08/2019,0950,149.53,149.59,149.36,149.46,163371
01/08/2019,0951,149.48,149.78,149.46,149.51,256047
01/08/2019,0952,149.51,149.69,149.51,149.69,195068
01/08/2019,0953,149.68,149.72,149.53,149.69,109616
01/08/2019,0954,149.69,149.76,149.6,149.62,119796
01/08/2019,0955,149.64,149.8,149.58,149.75,176260
01/08/2019,0956,149.76,149.78,149.44,149.54,102486
01/08/2019,0957,149.54,149.54,149.05,149.11,168112
01/08/2019,0958,149.11,149.22,148.9,148.99,191641
01/08/2019,0959,148.98,149.1,148.89,149.01,213400
01/08/2019,1000,149.02,149.19,148.99,149.19,149794
01/08/2019,1001,149.18,149.23,148.93,148.97,150006
01/08/2019,1002,148.96,149.21,148.96,149.16,108641
01/08/2019,1003,149.15,149.19,149,149.08,99214
01/08/2019,1004,149.1,149.34,149.07,149.28,100156
01/08/2019,1005,149.3,149.46,149.25,149.35,108774
01/08/2019,1006,149.36,149.48,149.31,149.4,77069
01/08/2019,1007,149.41,149.45,149.35,149.42,51864
01/08/2019,1008,149.42,149.53,149.39,149.46,73774
01/08/2019,1009,149.46,149.48,149.38,149.45,65151
01/08/2019,1010,149.46,149.47,149.29,149.43,75529
01/08/2019,1011,149.44,149.6,149.43,149.55,142195
01/08/2019,1012,149.56,149.73,149.5,149.51,132300
01/08/2019,1013,149.51,149.51,149.28,149.29,105093
01/08/2019,1014,149.31,149.32,149.03,149.16,107826
01/08/2019,1015,149.16,149.16,149.05,149.08,81323
01/08/2019,1016,149.08,149.22,149.06,149.1,80686
01/08/2019,1017,149.08,149.08,148.74,148.76,165645
01/08/2019,1018,148.78,148.92,148.7,148.74,142279
01/08/2019,1019,148.74,148.8,148.52,148.69,175097
01/08/2019,1020,148.69,148.82,148.54,148.72,168303
01/08/2019,1021,148.71,148.9,148.67,148.86,89902
01/08/2019,1022,148.83,149.05,148.75,149.02,118166
01/08/2019,1023,149,149.15,148.97,149.04,64547
01/08/2019,1024,149.03,149.1,148.97,148.97,67881
01/08/2019,1025,148.96,149.14,148.96,149.13,54928
01/08/2019,1026,149.12,149.12,148.96,149,90369
01/08/2019,1027,148.99,149.05,148.88,149.01,99110
01/08/2019,1028,149,149.1,148.94,149,52175
01/08/2019,1029,149,149.09,148.97,148.98,72249
01/08/2019,1030,148.99,149.1,148.96,149,106631
01/08/2019,1031,148.99,149,148.76,148.77,96785
01/08/2019,1032,148.77,148.89,148.72,148.79,78512
01/08/2019,1033,148.78,148.8,148.64,148.66,68660
01/08/2019,1034,148.65,148.73,148.61,148.73,153553
01/08/2019,1035,148.74,148.77,148.58,148.75,76240
01/08/2019,1036,148.75,148.86,148.66,148.77,90238
01/08/2019,1037,148.77,149.03,148.69,148.97,134440
01/08/2019,1038,148.96,149.19,148.94,149.17,104522
01/08/2019,1039,149.16,149.23,149.01,149.2,113941
01/08/2019,1040,149.2,149.39,149.13,149.32,85781
01/08/2019,1041,149.32,149.41,149.24,149.28,71610
01/08/2019,1042,149.28,149.39,149.17,149.37,59277
01/08/2019,1043,149.38,149.43,149.25,149.3,63116
01/08/2019,1044,149.27,149.3,149.05,149.11,70707
01/08/2019,1045,149.11,149.17,149,149.16,77896
01/08/2019,1046,149.16,149.19,148.96,148.99,80935
01/08/2019,1047,149,149,148.86,148.97,101129
01/08/2019,1048,148.95,148.96,148.89,148.92,80472
01/08/2019,1049,148.93,149.14,148.93,149.08,81876
01/08/2019,1050,149.08,149.1,148.96,149.02,87386
01/08/2019,1051,149.02,149.05,148.8,148.87,70065
01/08/2019,1052,148.88,148.97,148.79,148.8,59027
01/08/2019,1053,148.81,148.85,148.72,148.75,123476
01/08/2019,1054,148.76,148.78,148.67,148.77,49399
01/08/2019,1055,148.77,148.77,148.65,148.76,45639
01/08/2019,1056,148.75,148.83,148.71,148.79,92003
01/08/2019,1057,148.79,148.85,148.72,148.77,78600
01/08/2019,1058,148.77,148.87,148.74,148.86,44521
01/08/2019,1059,148.85,148.91,148.8,148.89,61574
01/08/2019,1100,148.91,149,148.82,148.98,63892
01/08/2019,1101,148.99,149.05,148.98,149,52542
01/08/2019,1102,149.02,149.19,148.99,149.16,52323
01/08/2019,1103,149.16,149.33,149.12,149.25,123029
01/08/2019,1104,149.25,149.35,149.22,149.32,150490
01/08/2019,1105,149.33,149.39,149.31,149.37,64993
01/08/2019,1106,149.38,149.43,149.25,149.25,54292
01/08/2019,1107,149.25,149.43,149.24,149.43,27246
01/08/2019,1108,149.44,149.62,149.44,149.58,110405
01/08/2019,1109,149.58,149.71,149.58,149.64,71915
01/08/2019,1110,149.65,149.74,149.62,149.72,55521
01/08/2019,1111,149.73,149.78,149.7,149.76,88320
01/08/2019,1112,149.76,149.85,149.73,149.75,91267
01/08/2019,1113,149.76,149.9,149.67,149.68,72892
01/08/2019,1114,149.68,149.75,149.55,149.69,87270
01/08/2019,1115,149.7,149.73,149.61,149.71,48495
01/08/2019,1116,149.71,149.74,149.57,149.73,50036
01/08/2019,1117,149.72,149.84,149.72,149.82,55765
01/08/2019,1118,149.82,149.97,149.79,149.94,79099
01/08/2019,1119,149.95,150.09,149.88,150.05,243041
01/08/2019,1120,150.06,150.22,150.06,150.13,168526
01/08/2019,1121,150.1,150.15,150,150.04,76277
01/08/2019,1122,150.05,150.06,149.9,149.92,88559
01/08/2019,1123,149.91,150.02,149.84,149.88,92333
01/08/2019,1124,149.88,149.97,149.8,149.87,78257
01/08/2019,1125,149.89,149.99,149.81,149.89,59077
01/08/2019,1126,149.89,149.89,149.61,149.77,75431
